genome,fitness,behavior_descriptor
"[ 0.36946357 -0.86908087 -0.27289066  0.72786744 -0.918191   -0.95445087
 -0.1144958 ]",0,[ 0.369 -0.869 -0.273]
"[ 0.4882971   0.40839166 -0.16736338 -0.86954062 -0.93720764  0.57817944
  0.42215616]",0,[ 0.488  0.408 -0.167]
"[ 0.75846641  0.33303623  0.76830623  0.23247806 -0.57287857 -0.88270741
  0.39305074]",0,[0.758 0.333 0.768]
"[ 0.87357858 -0.37517476 -0.13538834 -0.61733544  0.83646687 -0.99135689
 -0.49132715]",0,[ 0.874 -0.375 -0.135]
"[-0.61873593 -0.35374887  0.33342364 -0.78374438 -0.01940159 -0.56101911
  0.47599007]",0,[-0.619 -0.354  0.333]
"[-0.90917636  0.15409674  0.62943723 -0.40324412 -0.63471251 -0.79085546
 -0.33297615]",0,[-0.909  0.154  0.629]
"[ 0.21462528 -0.96043729 -0.12950706  0.27140796  0.6478963   0.88228002
 -0.88617016]",0,[ 0.215 -0.96  -0.13 ]
"[-0.37264936 -0.17863899 -1.11611357 -0.98385447 -0.90724557 -0.44313059
 -0.070497  ]",0,[-0.373 -0.179 -1.116]
"[ 0.78115631 -0.06045519  0.38098779 -0.33602291 -0.58892904  0.41989085
  0.73914979]",0,[ 0.781 -0.06   0.381]
"[ 0.74335983  0.68274634 -0.79995017 -0.38893769  0.55195776 -0.25610034
  0.06421766]",0,[ 0.743  0.683 -0.8  ]
"[ 0.61105807  0.17916199  0.27713012 -0.5426916   0.28090004  0.29372954
  0.80663371]",0,[0.611 0.179 0.277]
"[-0.05780059  0.88497177  0.59778185  0.73373837  0.39571217  0.32481409
  0.69550396]",0,[-0.058  0.885  0.598]
"[ 0.12189681  0.5603936   1.19720076  0.66445598  0.56138776 -0.18542195
 -0.25798023]",0,[0.122 0.56  1.197]
"[ 0.82509618 -0.40345872  0.88157344  0.23113703  0.2992554   0.85467558
  0.96537786]",0,[ 0.825 -0.403  0.882]
"[-0.56007547 -0.65737157  0.75293896 -0.29719542 -0.84622413 -0.16488586
 -0.49985902]",0,[-0.56  -0.657  0.753]
"[-0.09079104  0.90821172 -0.72575092  0.46988639 -0.04095827  0.00673805
 -0.0177701 ]",0,[-0.091  0.908 -0.726]
"[-0.1036917   0.16685846 -0.57182542 -0.02473922  0.87990515  0.34495252
  0.27031359]",0,[-0.104  0.167 -0.572]
"[-0.5034634   0.90708155 -0.70862995  0.91836752  0.44357117 -0.1281109
  0.5984002 ]",0,[-0.503  0.907 -0.709]
"[-0.53768041  0.41769477 -0.99799278  0.79044603  0.06297331  0.14497836
 -0.0591646 ]",0,[-0.538  0.418 -0.998]
"[-0.30282238 -0.76581148  0.08412784 -0.81008376 -0.0375713  -0.04274628
  0.7785641 ]",0,[-0.303 -0.766  0.084]
"[-0.83441018  0.88368128  0.13787204 -0.30860929  0.77927806 -0.74130711
  0.43529141]",0,[-0.834  0.884  0.138]
"[-0.96655003 -0.8221041   0.07138418 -0.18416045  0.73770866 -0.96041607
 -0.92400944]",0,[-0.967 -0.822  0.071]
"[ 0.05196856 -0.21851557  0.09234849 -0.77692745  0.91933861  0.00182203
 -0.2110395 ]",0,[ 0.052 -0.219  0.092]
"[-0.90101345  0.42537097  0.71103677  0.77536613 -0.47123315  0.77516356
  0.42169108]",0,[-0.901  0.425  0.711]
"[ 0.8248298   0.5801955   0.42618444 -0.06773877 -0.8477537  -0.83568422
  0.56554615]",0,[0.825 0.58  0.426]
"[-0.25784545 -0.47763035  0.75173024 -0.73506572 -0.82751314  0.53268499
 -0.96558541]",0,[-0.258 -0.478  0.752]
"[-0.68428217 -0.95151511  0.34998111 -0.50437704 -0.85644949  0.08923886
 -0.85873353]",0,[-0.684 -0.952  0.35 ]
"[ 1.06238818 -0.09444424 -0.84189998 -0.47253923  0.83162265  0.42005492
  0.30572147]",0,[ 1.062 -0.094 -0.842]
"[-0.56163227 -0.65511661  0.4778538   0.30533452 -0.18751866  0.87562829
 -0.11409482]",0,[-0.562 -0.655  0.478]
"[-0.181733    0.78878537 -0.00378361 -0.79855166  0.33184258  0.80932855
 -0.59338334]",0,[-0.182  0.789 -0.004]
"[ 0.77285462  0.05719096 -0.89549868 -0.81283596  0.1436269   0.91534387
 -0.15724222]",0,[ 0.773  0.057 -0.895]
"[ 0.54975356 -0.80187618 -0.63579482 -0.88738856 -0.46046818 -0.91268987
  0.28971545]",0,[ 0.55  -0.802 -0.636]
"[ 0.05650634 -0.68659039  0.32037346 -0.49509819  0.54225986 -0.43169309
  0.06717517]",0,[ 0.057 -0.687  0.32 ]
"[-0.09215458  0.60394207 -0.61893799 -0.13063777  0.25393743  0.27983563
  0.87259396]",0,[-0.092  0.604 -0.619]
"[-1.09775235  0.46335326 -0.14058723  0.02069219  0.13763938  0.92848015
  0.69695103]",0,[-1.098  0.463 -0.141]
"[ 0.30525809 -0.61729321 -0.96169616  1.00158373  0.80469362 -0.85708392
  0.84639802]",0,[ 0.305 -0.617 -0.962]
"[ 0.44805126 -0.11216232  0.33400378 -0.29327083  0.76254777  0.19150756
 -0.49267417]",0,[ 0.448 -0.112  0.334]
"[-0.5258945   1.18952619 -0.14952457  0.19481947  0.34953824 -0.07909614
 -0.74424678]",0,[-0.526  1.19  -0.15 ]
"[ 0.64148659  1.00709339  0.7823995  -0.97908035  0.27939542 -0.12703148
 -0.301302  ]",0,[0.641 1.007 0.782]
"[-0.13942713  0.39115964 -0.23105429 -0.025286   -0.82072724 -0.8554243
  0.22153546]",0,[-0.139  0.391 -0.231]
"[-0.20359606 -0.92512328  1.04931492  0.79236864  0.91164585  0.12408809
  0.99019183]",0,[-0.204 -0.925  1.049]
"[-0.9885331  -0.47747467 -1.00046503  0.25312979 -0.15861785  0.32431127
 -0.2225328 ]",0,[-0.989 -0.477 -1.   ]
"[-0.11056673  0.65642143  0.62314557 -0.09350073  0.31457846  0.81349664
 -0.56814821]",0,[-0.111  0.656  0.623]
"[-0.61404374 -0.75084528 -0.17169624  0.36988527  0.10513727 -0.96459294
 -0.93898221]",0,[-0.614 -0.751 -0.172]
"[ 0.90821972 -0.66525136  0.85625148  0.83792922 -0.88762525 -0.81059579
 -0.57485671]",0,[ 0.908 -0.665  0.856]
"[ 0.78766919  0.63147737 -0.79663939  0.13352971  0.57324386 -0.42851953
  0.13673061]",0,[ 0.788  0.631 -0.797]
"[ 0.19487532  0.06990478  0.57739445  0.77756576  0.15149223 -0.52775812
 -0.42844665]",0,[0.195 0.07  0.577]
"[-0.74288603 -0.8638038  -0.38395007 -0.49789707  0.02072771 -0.9433333
  0.65266125]",0,[-0.743 -0.864 -0.384]
