genome,fitness,behavior_descriptor
"[ 0.59869544  0.72865435  0.49147166 -0.66645925  0.5897877   0.17605801
 -0.1567363 ]",0,[0.599 0.729 0.491]
"[ 0.39517963  0.99872327 -0.34667766 -0.29715058  0.52253879  0.43884737
 -0.05155797]",0,[ 0.395  0.999 -0.347]
"[-0.98370959 -0.86234065 -0.12959047  0.9058863   0.20152408 -0.83114463
  0.16537819]",0,[-0.984 -0.862 -0.13 ]
"[ 0.48650314 -0.68917445 -0.26948616 -0.91667357  0.79407086 -0.73591033
  0.76460651]",0,[ 0.487 -0.689 -0.269]
"[-0.91364811  0.96556372 -0.81061297 -0.77718487 -0.30467998 -0.33630559
 -0.5661741 ]",0,[-0.914  0.966 -0.811]
"[ 0.43782697  0.14089257  0.05090312 -0.42340837  0.53876029 -0.46055132
 -0.32534193]",0,[0.438 0.141 0.051]
"[-0.50983472  0.9298242   0.07211934 -0.2800248  -0.73912452  0.82173895
  0.54315395]",0,[-0.51   0.93   0.072]
"[ 0.00703519 -0.34402345 -0.5030059   0.52833835  0.05446299  0.63427756
 -0.43090008]",0,[ 0.007 -0.344 -0.503]
"[ 0.73919724  0.20551705 -0.89266751 -0.62270665  0.05905658 -0.31821729
 -0.98333311]",0,[ 0.739  0.206 -0.893]
"[ 0.97879642 -0.68460658  0.15598536  0.18641122 -0.03262985  0.23077434
 -0.07795976]",0,[ 0.979 -0.685  0.156]
"[ 0.01406116  0.41854213  0.71873905 -0.16781125  0.2610262   0.95267888
  0.84431074]",0,[0.014 0.419 0.719]
"[ 0.76966701  0.53373095 -0.52162375  0.06943327  0.76925936  0.49909928
  0.16752239]",0,[ 0.77   0.534 -0.522]
"[ 0.35971706 -0.57928471  0.51170668  0.04523413 -0.75692544  0.59807324
  0.99205293]",0,[ 0.36  -0.579  0.512]
"[ 0.80335956 -0.80520469 -0.39669724  0.93112137  0.69947193  0.93814296
 -0.27311493]",0,[ 0.803 -0.805 -0.397]
"[0.09026776 0.95872211 0.83844472 0.09812092 0.59365614 0.70980053
 0.41647536]",0,[0.09  0.959 0.838]
"[ 0.75312539  0.72106233  0.87698105 -0.8711011  -0.94965695 -0.73726223
 -0.99343435]",0,[0.753 0.721 0.877]
"[-0.49021132  0.93894081 -0.11678966 -0.0455167   0.85893782  0.11008722
  0.58548559]",0,[-0.49   0.939 -0.117]
"[ 0.52247673 -0.30275166 -0.54012128  0.04169162  0.44016938 -0.92177201
 -0.5845755 ]",0,[ 0.522 -0.303 -0.54 ]
"[-0.96196008 -0.11361347  0.66694557 -0.56845027 -0.43467188  0.07727546
 -0.67543069]",0,[-0.962 -0.114  0.667]
"[-0.15786819 -0.5356351   0.23174278  0.42724855 -0.03274216 -0.74876872
 -0.94283067]",0,[-0.158 -0.536  0.232]
"[ 0.94656393 -0.17296274  0.45544372 -0.96321711 -0.00799413  0.06891652
 -0.90316316]",0,[ 0.947 -0.173  0.455]
